,NorCal MOCI,CenCal MOCI,SoCal MOCI,SSTN14,SSTN13,BEUTI 41N,BEUTI 39N,BEUTI 37N,UI39N,MEI,PDO,NPGO
1983-01-01,,,,13.344935119325896,13.334107721341804,,,,-102.66666666666667,2.6633333333333336,1.2699999999999998,0.5029785133333332
1983-04-01,,,,12.289596763231765,11.362392008255297,,,,131.33333333333334,2.5666666666666664,2.01,-0.5137895029999999
1983-07-01,,,,14.075469860191015,13.925418679549116,,,,154.33333333333334,0.07666666666666667,2.09,-0.156127114
1983-10-01,,,,14.29354695792388,14.246833026016185,,,,-7.333333333333333,-0.43,1.2233333333333334,-0.20132067333333328
1984-01-01,,,,11.979702276357981,11.817215203667542,,,,15.333333333333334,-0.3766666666666667,1.4933333333333334,0.30158308333333333
1984-04-01,,,,10.866529271206693,9.51205436452281,,,,197.33333333333334,-0.3666666666666667,1.0000000000000002,0.95969617
1984-07-01,,,,12.629329220205795,12.664300471320246,,,,213.33333333333334,-0.18999999999999997,0.15333333333333335,0.53568608
1984-10-01,,,,12.454984097638375,12.514162354190406,,,,2.3333333333333335,-0.3466666666666667,0.7033333333333333,0.6860348133333334
1985-01-01,,,,10.701160004675083,10.59702235488526,,,,43.333333333333336,-0.4766666666666666,0.9266666666666666,0.163566743
1985-04-01,,,,10.766160607531766,9.82987338036039,,,,137.66666666666666,-0.85,0.12333333333333334,0.143626072
1985-07-01,,,,12.618150075713766,12.344890548779047,,,,120.33333333333333,-0.27666666666666667,0.7733333333333334,-0.33017600333333336
1985-10-01,,,,11.583126590826451,11.052328544916202,,,,26.666666666666668,-0.12666666666666668,-0.026666666666666672,-1.5526210000000003
1986-01-01,,,,11.98899207335831,12.645716847542827,,,,-52.666666666666664,-0.3499999999999999,1.6366666666666667,-0.8946717766666668
1986-04-01,,,,10.665555981495029,11.508452013536115,,,,122.0,-0.19333333333333333,1.2,-0.7103472366666667
1986-07-01,,,,12.383905836060466,12.938364438738004,,,,155.33333333333334,0.9733333333333333,0.6066666666666666,-0.90929351
1986-10-01,,,,12.833581432999154,12.516465977761095,,,,12.333333333333334,0.7600000000000001,1.5133333333333334,-0.41707663
1987-01-01,,,,11.795392979492272,11.740088745600668,,,,-5.0,1.1766666666666667,1.9100000000000001,0.57985682
1987-04-01,,,,11.469553429337793,10.443493855047844,,,,141.66666666666666,1.8633333333333333,1.58,0.37983777333333335
1987-07-01,,,,12.960585693476597,12.994664799170318,,,,158.33333333333334,1.5433333333333332,2.4266666666666663,0.31197598
1987-10-01,,,,13.715918258083406,13.172585457879912,,,,5.333333333333333,0.91,1.3666666666666665,0.44502834333333335
1988-01-01,,,,11.129774457834621,11.322977219822057,5.699333333333333,10.749333333333333,6.065666666666666,44.0,0.3633333333333333,1.1966666666666665,0.9567278300000001
1988-04-01,,,,11.282602403180945,11.007007103527092,5.6930000000000005,11.451333333333332,7.473999999999999,93.33333333333333,-0.52,0.96,1.6982004666666668
1988-07-01,,,,12.100779758830413,11.807197861032014,13.052333333333335,15.012666666666668,5.8676666666666675,196.33333333333334,-1.7766666666666666,0.15333333333333335,1.4779884666666667
1988-10-01,,,,11.963679670106005,12.29893356189289,3.356666666666667,7.115333333333333,2.937,18.0,-1.5466666666666669,-0.18333333333333335,1.16163029
1989-01-01,,,,10.314862524569653,10.384663132274456,0.7696666666666676,5.442999999999999,4.661333333333333,8.0,-1.116666666666667,-0.9333333333333332,0.9678873966666668
1989-04-01,,,,11.635912955385061,11.074133616435509,8.936666666666667,15.091000000000001,7.851333333333334,113.66666666666667,-1.05,0.17,0.6297926833333333
1989-07-01,,,,11.686181172406629,12.070693305439455,6.366666666666667,12.631666666666666,5.831333333333333,202.33333333333334,-0.82,0.3233333333333333,0.8617491166666666
1989-10-01,,,,12.400747883226849,12.768080656292435,2.2176666666666667,4.570666666666667,1.5243333333333335,32.666666666666664,-0.3033333333333334,-0.27666666666666667,-0.010466729999999999
1990-01-01,,,,11.018579724232366,10.92644468376411,5.426666666666667,11.899333333333333,7.544333333333334,21.333333333333332,0.3866666666666667,-0.5233333333333333,0.21377107333333334
1990-04-01,,,,11.094920994153114,10.615146173887407,9.783666666666667,17.286666666666665,10.143666666666666,101.33333333333333,0.08,0.3833333333333333,0.026692115666666672
1990-07-01,,,,13.756042011447397,12.63184364937696,2.9806666666666666,4.670000000000001,1.551,76.33333333333333,0.14666666666666667,0.25333333333333335,-0.24932028000000003
1990-10-01,,,,11.605964489448013,11.398976635216117,5.364999999999999,9.158666666666667,6.5186666666666655,47.666666666666664,0.11333333333333334,-1.5366666666666664,-0.7973273933333335
1991-01-01,-1.9891679725371003,-1.819005801013968,-0.9527354901984026,10.940133452335415,11.034376720268199,0.48233333333333306,3.0540000000000003,2.3876666666666666,6.666666666666667,0.15,-1.3166666666666667,-0.6185782166666667
1991-04-01,-6.175390897526431,-5.6049012306861465,-4.331639608700721,9.976636668225028,9.89233072307932,16.570333333333334,28.780666666666665,18.923999999999996,203.33333333333334,0.48333333333333334,-0.9966666666666667,-0.2179121546666667
1991-07-01,0.2678592493548756,-0.7162593951135755,-2.173009134577732,13.108938071694034,12.527012997975481,8.565333333333335,9.618666666666664,5.066666666666666,118.0,0.64,0.30333333333333334,-0.6673736766666667
1991-10-01,-1.811332439828867,-0.3999205636279848,0.6225558938861353,12.154733483680493,12.262172614409641,1.8193333333333337,4.098333333333334,3.4659999999999997,25.333333333333332,1.1833333333333333,0.3333333333333333,-0.4917947966666667
